,prompt,completion
53,Como preencher a planilha de inclusão de colaboradores corretamente  MOBILIZAÃO?,"Resposta Para que a planilha seja anexada, você precisa utilizar o modelo padrão disponível para download no sistema. Para o preenchimento correto da planilha, você precisa se atentar as orientaões abaixo 
 Observaões Gerais
1 Ao abrir a planilha, clique em Habilitar Edião no canto superior direito, para que as células fiquem habilitadas para o preenchimento
2 Não é permitido copiar e colar os dados de outra planilha ou de outro local
3 Não alterar a fonte tamanho ou estilo
4 Os dados dos colaboradores devem estar um abaixo do outro não pode pular linhas
5 As células que possuem campo suspenso, devem ser selecionadas e nunca digitadas
6 Salve a planilha sem alterar o formato do arquivo.
 Preenchimento dos Campos
Matricula Siga o exemplo descrito na planilha. Caso os seus colaboradores não tenham o número de matrícula, crie um número fictício desde que seja único, ou seja, que não se repita para outro colaborador, ex. 001, 002. 003 e etc.
CPF  Verificar se possuem pontuaão e são validos. Você pode validar o CPF acessando o link  httpswww.4devs.com.brvalidadorcpf
PIS Este campo não é obrigatório para a classificaão sócio, estrangeiro e autônomo, mas caso seja solicitado pelo portal é possível gerar uma numeraão de PIS para o preenchimento no link httpswww.4devs.com.brgeradordepispasep
Para as demais classificaões, verificar se possuem pontuaão e são validos. Você pode validar o PIS acessando o link  httpswww.4devs.com.brvalidadorpispasep
RG Digite o RG. O Campo é obrigatório
Passaporte Deixar em branco se o colaborador for brasileiro
Data de Nascimento O Campo é obrigatório
Sexo MasculinoFeminino. O campo é obrigatório.
Salário Informe o salário do colaborador, caso não tenha, informe um valor fictício.
Refeião Custeada Escolha SIM ou NÃO. O campo é obrigatório.
Tipo de Prestador Escolha a opão FIXO ou ESPORÁDICO. O campo é obrigatório.
Funão Informe a funão que ele exerce na empresa
Data de admissão Data que consta na CTPS
Data início de servio Precisar ser futura No máximo 15 dias a frente
Data de termino Não é obrigatório preencher
Classificaão Verificar a que se enquadra ao colaborador de acordo com as opões que constam na planilha.
Motivo da entrada Verificar a que se enquadra de acordo com as opões que constam na planilha.
Local de servio Escolher a opão que consta na planilha, caso não aparea a unidade que vai executar o trabalho, pode selecionar qualquer uma e incluir a correta no campo de observaão.
Exposião de Risco Selecionar a opão que corresponde de acordo com a planilha NãoPericulosidadeInsalubridade.
Observaão Campo destinado a observaões gerais. Esse item é obrigatório para o projeto Raízen, e nele deve ser informado o endereo completo do colaborador rua, avenida, n, apartamento, bairro, cidade e estado. Para os demais projetos, não é obrigatório.
Estrangeiro Selecionar SIM ou NÃO. O campo é obrigatório.
Email do Funcionário Informe o email do colaborador que está sendo mobilizado. Esse item é obrigatório apenas para os projetos Guardian, John Deere
Siemens Energy,  Industry e Lager Drives.
 ATENÃO A partir do dia 24012023, para as novas mobilizaões dos clientes Siemens Energy,  Industry e LD o campo  email do funcionário deve estar preenchido com o email do responsável Siemens pelos os que estão sendo mobilizados.

"
54,Como inativar um colaborador na mobilizaão?,"Resposta Caso o colaborador tenha sido desligado ou realocado, poderá retirálo da mobilizaão para que não haja cobrana de documentos. Para isso, siga as orientaões abaixo
1 Na aba de Menu, clique em Carregamento de Documentos e depois Carregar Mobilizaão
2 Digite o n do contrato no campo de busca e clique em pesquisar. Em seguida o sistema irá exibir todas as mobilizaões do contrato
3 Na mobilizaão que o colaborador está, clique no segundo botão do lado direito Colaboradores
4 No colaborador que deseja inativar, clique em Editar, abaixo de Aão
5 Clique no ícone  X  para inativalo.
6 Assista o tutorial para saber mais httpswww.youtube.comwatch?voEcRQwGjJIg

"
55,Como criar uma mobilizaão?,"Resposta Assista ao tutorial abaixo para descobrir como mobilizar os seus trabalhadores ou siga as orientaões localizadas abaixo do vídeo
 Para criar uma nova mobilizaão, siga os passos
 Atenão O sistema só permite criar uma mobilizaão por dia para o mesmo contrato e CNPJ. Dessa forma, caso já tenha criado uma hoje, não será possível fazer outra. O próprio sistema não permite.
 Na tela Carregamento de Documentos  Mobilizaão, clique no ícone abaixo
 Após clicar em Nova Mobilizaão observe o popup
 Após clicar em ok você será direcionado para a etapa 2, onde deverá adicionar os dados dos colaboradores.
 Assista o tutorial para saber mais httpswww.youtube.comwatch?vNnF6vHLXdo

"
56,Como vizualizar o Feedback de Pendências?,"Resposta Para avaliar a pendência aplicada, nas etapas 6 e 7, siga as orientaões abaixo
1   Clique no ícone da pendência
2  Clique no botão de Like ou Dislike para avaliar
3  Para avaliaões negativas, ao clicar no Dislike, selecione a justificativa que mais se aplica a sua avaliaão
4  Clique em Enviar.

"
57,Como extrair o Relatório de Controle de Validade de Documentos?,"Resposta Você sabia que consegue extrair do sistema o relatório onde traz a validade de todos os documentos anexados nas mobilizaões?
 O Relatório de Controle de Validades de Documentos é essencial para que se tenha uma gestão efetiva dos documentos que estão próximos do vencimento, fazendo com que você esteja um passo à frente para atualizalo no sistema, evitando que o colaborador fique impossibilitado de continuar a prestaão de servios ao cliente.
 Vamos te ensinar o passo a passo
 No menu, clique em Relatórios
 Clique em Relatório Controle de Validade dos Documentos
 Selecione a sua contratante e a contratada. Se desejar digite o número do contrato ou o CPF do colaborador no caso de uma consulta específica
 Para uma consulta mais detalhada, clique em.
 Para obter as informaões na tela, clique em.
 Caso ainda restem dúvidas acione a Beth, nossa assistente virtual no canto superior direito da tela.

"
58,Onde visualizar as pendências?,"Resposta As pendências podem ser verificadas de duas formas
 Acessando a mobilizaãocompetência
1 Clique na aba Carregamento de Documentos e depois Carregar Mobilizaão ou Carregar Mensal, se for o caso
2 Digite o n do contrato no campo de busca e clique em Pesquisar. Em seguida o sistema irá exibir todas as competências do contrato
3 Na tela inicial, após localizar a mobilizaãocompetência, clique em Acessar Carregamento
4 Clique na etapa 6. As pendências são sinalizadas por um botão vermelho, que você pode clicar para ter acesso a não conformidade
5Clique na etapa 7, e clique em cima do nome do colaborador para visualizar as pendências. Clique no botão vermelho.
 Ou você também pode emitir o relatório de pendências na aba Utilitários
1 Na barra de menu clique em Utilitários e clique em Envio Relatório de Pendências
2 Selecione a contratante, o grupo de área e a situaão Todos
3 Digite a data de busca e clique em Pesquisar
4 Selecione Mensal ou Mobilizaão
5 Selecione as competênciasmobilizaões que deseja e clique em Visualizar email para emitir o relatório em PDF.

"
59,Como emitir um relatório de pendências atualizado?,"Resposta Você sabia que é simples emitir um relatório de pendências atualizado? De maneira simples, vamos mostrar como visualizar as pendências seguindo as instruões abaixo
1 Na barra de menu clique em Utilitários e clique em Envio Relatório de Pendências
2 Selecione a contratante, o grupo de área e a situaão Todos
3 Digite o número do contrato, a data de busca e clique em Pesquisar
4 Clique em Mensal ou Mobilizaão
5 Selecione as competênciasmobilizaões que deseja e clique em Visualizar email para emitir o relatório em PDF.
 Se desejar anexar algum documento que esteja dentro das não conformidades, clique em Tratar, no próprio relatório, para ser direcionado para a tela de inclusão de documentos.

"
60,Como verificar os prazos da análise?,"Resposta Para verificar os prazos de envio dos documentos e relatórios, siga o passo a passo abaixo
1 Clique na barra de menu em Utilitários e depois em Prazos da Análise
2 Selecione a sua contratante e verifique as informaões na tela.
Lembramos que para mobilizaões, o prazo de análise é de até 3 dias úteis. Esse prazo comea a contar no primeiro dia útil posterior ao envio do último documento.

"
61,Como verificar o prazo de análise da mobilizaão?,"Resposta A mobilizaão seguirá para análise após o envio de todos os documentos e justificativas. Para acompanhar o prazo de envio do relatório é bem simples e vamos explicar agora!
 Siga as seguintes orientaões abaixo
1 Na barra de menu, clique em Relatórios e clique em Prazos da Mobilizaão
2 Selecione a contratante e digite o número do contrato
3 Selecione as opões Exibir todos os prazos e Considerar Reanálise. Em Quantidade, digite 100
4 Clique em Solicitar Relatório,
5 Ao clicar em Solicitar Relatório, observe que a coluna Status ficará com a informaão Agendada. Atualize a página até que o status mude para Finalizada
6 Clique em Download para baixar o relatório em excel e verifique as colunas Prazo e Indicador, conforme abaixo
 Indicador cinza, prazo 4  indica que a mobilizaão possui pendências e ainda falta anexar algum documento
 Indicador verde, prazo 3  até 3 dias úteis
 Indicador verde, prazo 2 até 2 dias úteis
 Indicador amarelo, prazo 1 até 1 dias útil
 Indicador amarelo, prazo 0 o relatório será enviado no dia
 Indicador Azul o relatório ja foi enviado e a mobilizaão está conforme.
7 Assista o vídeo httpswww.youtube.comwatch?v9snce1AiVf0

"
62,"Como localizar Cartilhas, manuais, tutoriais e modelos de documentos no sistema NewContract?","Resposta Ao acessar o NewContract, siga as instruões
 Na barra de menu, clique em Suporte  Cartilha.
 Na opão Manuais e Cartilhas, você pode pesquisar o material que deseja
 Desa a barra de rolagem para visualizar os Tutoriais.

"
63,falar com um atendente,"Resposta Vou te transferir para um atendente agora, aguarde só um instante.

Categoria Documentos para Mobilizaão de Trabalhadores  V3
Resposta Documentos da Empresa

"
64,O que é o FISPQ Ficha de Informaão de Segurana para Produtos Químicos,"Resposta O FISPQ é um documento normalizado pela Associaão Brasileira de Normas Técnicas ABNT. A ficha de informaões de segurana de produtos químicos FISPQ fornece informaões sobre vários aspectos de produtos químicos substâncias ou misturas quanto à proteão, à segurana, à saúde e ao meio ambiente. A FISPQ fornece, para esses aspectos, conhecimentos básicos sobre os produtos químicos, recomendaões sobre medidas de proteão e aões em situaão de emergência.
Fique atento aos pontos de atenão abaixo
1 Verificar se o documento foi apresentado.
2 Risco Atrelado Existem inúmeras legislaões relacionadas a exigência da FISPQ. Dentre elas o Decreto n 2657 de 1998 que estabelece a obrigatoriedade do fornecimento da FISPQ para o trabalhador de todos os produtos químicos utilizados no trabalho e a NR26 informa que os trabalhadores deverão receber treinamento quanto as informaões contidas na FISPQ. Diante disso, a empresa que não cumprir os dispostos nas legislaões em que se enquadram, estará exposta as penalidades cabíveis a cada órgão fiscalizador competente à sua área de atuaão.
3 Principais não conformidades e forma de regularizaão
 Não conformidade A cópia do documento não foi apresentada.
 Regularizaão A contratada deverá apresentar cópia do documento.

"
65,O que é o PCMAT Programa de Condiões e Meio Ambiente de Trabalho da Construão Civil,"Resposta O PCMAT Programa de Condiões e Meio Ambiente de Trabalho da Construão Civil que estabelece procedimentos de ordem administrativa, de planejamento e de organizaão, que objetivam a implantaão de medidas de controle e sistemas preventivos de segurana nos processos, nas condiões e no meio ambiente de trabalho na Indústria da Construão. Resumindo, o PCMAT dita uma série de medidas de segurana a serem adotadas durante o desenvolvimento da obra. Necessário apenas para as obras que terá pico de 20 trabalhadores ou mais.
Pontos de Atenão
1 Identificaão da contratada Nome e CNPJ
2 Assinatura e registro do Eng. Seg do Trabalho
3 Local da obra
4 Validar funões e EPIs.
 Risco Atrelado
 No caso de ausência do PCMAT
1 Multas do Ministérios do trabalho, por ocasiões de fiscalizaões. As multas são em torno de R3.900,00, em valores de julho de 2016
2 Aões trabalhistas e previdenciárias indenizatórias na Justia do Trabalho, por empregados que aleguem ter contraído qualquer doena ocupacional ou se acidentado durante o período de contrato de trabalho
Quando comprovaão de doenas ocupacionais ou acidente de trabalho sem o respaldo do PCMAT, os responsáveis pela empresa podem ser responsabilizados criminalmente.
 Principais não conformidades e forma de regularizaão
Não conformidade Documento com CNPJ divergente do informado no sistema.
Regularizaão A empresa deverá apresentar a cópia do documento com o CNPJ correspondente ao cadastrado no portal da Bernhoeft.
Não conformidade Documento sem assinatura e registro do responsável pela elaboraão.
Regularizaão Deverá ser apresentado cópia do documento constando assinatura e número de registro do Eng. Seg do Trabalho responsável pela elaboraão do documento, a assinatura não deverá ser copiada e colada.
Não conformidade Documento não informa todas as funões dos colaboradores mobilizados.
Regularizaão A empresa deverá apresentar PCMAT atualizado onde evidencie as funões dos colaboradores que foram mobilizados."
